show_id,type,title,country,date_added_year,release_year,rating,listed_in
s1,Movie,Title_1,India,2021,2016,TV-MA,International Movies
s2,Movie,Title_2,United States,2017,2017,TV-MA,Horror Movies
s3,Movie,Title_3,United Kingdom,2014,2018,R,Romantic Movies
s4,Movie,Title_4,India,2014,2019,NR,International Movies
s5,Movie,Title_5,Nigeria,2011,2015,PG,Comedies
s6,Movie,Title_6,United States,2018,2020,TV-MA,Reality TV
s7,Movie,Title_7,United States,2018,2019,TV-14,Reality TV
s8,Movie,Title_8,United States,2014,2015,TV-MA,Horror Movies
s9,Movie,Title_9,France,2019,2021,TV-G,Crime TV Shows
s10,Movie,Title_10,United States,2019,2019,TV-MA,Comedies
s11,TV Show,Title_11,Mexico,2015,2017,TV-MA,Stand-Up Comedy
s12,TV Show,Title_12,United Kingdom,2016,2013,PG,Stand-Up Comedy
s13,TV Show,Title_13,United Kingdom,2021,2018,TV-G,Sci-Fi & Fantasy
s14,Movie,Title_14,Canada,2016,2014,TV-PG,Crime TV Shows
s15,Movie,Title_15,United States,2019,2017,TV-MA,Reality TV
s16,Movie,Title_16,United States,2017,2017,TV-14,Comedies
s17,TV Show,Title_17,United States,2020,2019,PG-13,Romantic Movies
s18,TV Show,Title_18,Canada,2019,2014,TV-14,Sci-Fi & Fantasy
s19,Movie,Title_19,United States,2019,2020,TV-MA,Sci-Fi & Fantasy
s20,TV Show,Title_20,United States,2020,2016,TV-MA,Reality TV
s21,Movie,Title_21,Nigeria,2021,2017,PG-13,Reality TV
s22,Movie,Title_22,United States,2018,2019,TV-14,Kids TV
s23,Movie,Title_23,Germany,2015,2018,TV-PG,Romantic Movies
s24,Movie,Title_24,Germany,2016,2016,TV-14,Comedies
s25,Movie,Title_25,United States,2019,2016,TV-14,Stand-Up Comedy
s26,TV Show,Title_26,United States,2018,2016,G,Comedies
s27,TV Show,Title_27,United States,2014,2018,TV-MA,Action & Adventure
s28,TV Show,Title_28,Japan,2011,2016,TV-PG,Documentaries
s29,TV Show,Title_29,France,2019,2019,TV-MA,Children & Family Movies
s30,Movie,Title_30,Spain,2015,2018,TV-MA,Dramas
s31,Movie,Title_31,Italy,2017,2013,R,Stand-Up Comedy
s32,TV Show,Title_32,Japan,2019,2016,PG-13,Comedies
s33,Movie,Title_33,United States,2018,2015,TV-PG,Children & Family Movies
s34,Movie,Title_34,United States,2012,2016,TV-MA,Crime TV Shows
s35,TV Show,Title_35,Mexico,2014,2017,TV-MA,Romantic Movies
s36,Movie,Title_36,United States,2014,2017,PG,Crime TV Shows
s37,TV Show,Title_37,United States,2015,2019,TV-MA,Comedies
s38,TV Show,Title_38,Japan,2018,2014,PG-13,Horror Movies
s39,Movie,Title_39,India,2017,2021,TV-MA,International TV Shows
s40,Movie,Title_40,Italy,2014,2016,NR,Romantic Movies
s41,TV Show,Title_41,France,2011,2016,PG,International TV Shows
s42,Movie,Title_42,United States,2014,2019,TV-MA,Documentaries
s43,TV Show,Title_43,Turkey,2021,2020,R,Comedies
s44,Movie,Title_44,United States,2017,2016,TV-MA,Comedies
s45,Movie,Title_45,United States,2020,2019,TV-MA,Anime Series
s46,Movie,Title_46,India,2020,2020,TV-14,Action & Adventure
s47,TV Show,Title_47,United States,2017,2019,TV-14,International TV Shows
s48,TV Show,Title_48,United Kingdom,2019,2010,TV-MA,Sci-Fi & Fantasy
s49,Movie,Title_49,United States,2014,2020,TV-14,Documentaries
s50,Movie,Title_50,India,2019,2019,TV-MA,Documentaries
s51,Movie,Title_51,United States,2015,2019,TV-MA,Stand-Up Comedy
s52,Movie,Title_52,Spain,2020,2019,TV-14,Romantic Movies
s53,TV Show,Title_53,Germany,2012,2021,TV-14,Thrillers
s54,TV Show,Title_54,United States,2019,2017,TV-PG,Documentaries
s55,Movie,Title_55,India,2012,2011,TV-PG,International Movies
s56,TV Show,Title_56,India,2020,2017,PG,Reality TV
s57,Movie,Title_57,United States,2016,2011,TV-14,Documentaries
s58,TV Show,Title_58,Germany,2018,2015,TV-MA,Children & Family Movies
s59,Movie,Title_59,Japan,2017,2018,TV-PG,Crime TV Shows
s60,TV Show,Title_60,United States,2016,2016,TV-PG,Comedies
s61,Movie,Title_61,India,2018,2019,TV-14,Reality TV
s62,Movie,Title_62,United States,2021,2020,TV-PG,Kids TV
s63,TV Show,Title_63,France,2011,2017,TV-MA,Reality TV
s64,Movie,Title_64,United States,2021,2020,TV-MA,Children & Family Movies
s65,TV Show,Title_65,Nigeria,2018,2012,TV-PG,Anime Series
s66,Movie,Title_66,Spain,2020,2020,TV-MA,Dramas
s67,Movie,Title_67,India,2016,2020,TV-14,Anime Series
s68,Movie,Title_68,Canada,2017,2016,TV-14,Thrillers
s69,Movie,Title_69,Italy,2020,2015,TV-14,Sci-Fi & Fantasy
s70,Movie,Title_70,United Kingdom,2017,2016,TV-14,International TV Shows
s71,Movie,Title_71,United States,2018,2020,TV-MA,Dramas
s72,Movie,Title_72,India,2010,2020,TV-Y,International TV Shows
s73,TV Show,Title_73,Mexico,2013,2016,TV-PG,Children & Family Movies
s74,Movie,Title_74,France,2018,2018,TV-14,Thrillers
s75,TV Show,Title_75,France,2019,2013,TV-MA,Anime Series
s76,Movie,Title_76,Australia,2018,2017,TV-MA,Romantic Movies
s77,TV Show,Title_77,Brazil,2013,2021,TV-PG,Crime TV Shows
s78,TV Show,Title_78,Italy,2017,2013,TV-MA,International TV Shows
s79,Movie,Title_79,United States,2016,2021,TV-MA,International TV Shows
s80,Movie,Title_80,United Kingdom,2017,2020,TV-14,Dramas
s81,Movie,Title_81,South Korea,2020,2021,TV-14,Horror Movies
s82,Movie,Title_82,South Korea,2019,2014,TV-PG,Documentaries
s83,TV Show,Title_83,Canada,2012,2014,TV-PG,Crime TV Shows
s84,Movie,Title_84,United States,2020,2009,PG-13,Children & Family Movies
s85,Movie,Title_85,Germany,2017,2019,TV-MA,Kids TV
s86,Movie,Title_86,South Korea,2019,2018,TV-PG,Dramas
s87,Movie,Title_87,United States,2013,2014,TV-MA,Crime TV Shows
s88,Movie,Title_88,India,2019,2020,TV-14,Crime TV Shows
s89,Movie,Title_89,United States,2015,2015,TV-14,Stand-Up Comedy
s90,TV Show,Title_90,United States,2017,2013,TV-MA,Stand-Up Comedy
s91,Movie,Title_91,United States,2009,2017,TV-14,International TV Shows
s92,Movie,Title_92,India,2013,2012,PG-13,Horror Movies
s93,TV Show,Title_93,United Kingdom,2012,2015,TV-MA,International Movies
s94,TV Show,Title_94,France,2015,2016,TV-14,Thrillers
s95,TV Show,Title_95,France,2012,2020,NR,Romantic Movies
s96,TV Show,Title_96,Mexico,2019,2020,TV-14,Documentaries
s97,TV Show,Title_97,United States,2010,2017,R,International TV Shows
s98,TV Show,Title_98,United States,2018,2019,PG-13,Thrillers
s99,Movie,Title_99,Australia,2013,2018,TV-MA,Reality TV
s100,Movie,Title_100,United States,2021,2016,TV-MA,Documentaries
s101,Movie,Title_101,Nigeria,2021,2019,R,Crime TV Shows
s102,Movie,Title_102,Mexico,2015,2019,R,International TV Shows
s103,Movie,Title_103,United Kingdom,2018,2018,TV-MA,Dramas
s104,TV Show,Title_104,Nigeria,2010,2018,TV-MA,International Movies
s105,TV Show,Title_105,United States,2021,2019,TV-14,Comedies
s106,Movie,Title_106,United States,2018,2016,PG-13,Children & Family Movies
s107,TV Show,Title_107,France,2011,2020,TV-14,Romantic Movies
s108,Movie,Title_108,United States,2016,2014,NR,Horror Movies
s109,TV Show,Title_109,Italy,2012,2020,TV-Y7,International Movies
s110,TV Show,Title_110,United States,2016,2016,R,Kids TV
s111,TV Show,Title_111,United Kingdom,2019,2013,TV-PG,International TV Shows
s112,TV Show,Title_112,Canada,2017,2018,TV-14,Anime Series
s113,Movie,Title_113,France,2016,2016,TV-MA,Reality TV
s114,TV Show,Title_114,United States,2013,2020,TV-14,Romantic Movies
s115,Movie,Title_115,India,2015,2017,TV-14,Dramas
s116,TV Show,Title_116,Mexico,2012,2019,TV-MA,International TV Shows
s117,Movie,Title_117,United States,2020,2016,TV-PG,Dramas
s118,TV Show,Title_118,Mexico,2013,2014,TV-14,Action & Adventure
s119,Movie,Title_119,Canada,2018,2016,R,Horror Movies
s120,Movie,Title_120,Spain,2016,2018,TV-14,Action & Adventure
s121,Movie,Title_121,Japan,2015,2018,TV-MA,Comedies
s122,Movie,Title_122,United States,2018,2018,TV-14,Romantic Movies
s123,Movie,Title_123,Canada,2017,2021,TV-G,Sci-Fi & Fantasy
s124,Movie,Title_124,Australia,2017,2019,PG-13,Stand-Up Comedy
s125,Movie,Title_125,India,2018,2021,TV-MA,Horror Movies
s126,Movie,Title_126,Turkey,2017,2013,TV-14,Documentaries
s127,Movie,Title_127,India,2016,2011,NR,International Movies
s128,Movie,Title_128,United States,2018,2016,TV-MA,International TV Shows
s129,Movie,Title_129,India,2019,2013,TV-MA,Action & Adventure
s130,Movie,Title_130,Turkey,2010,2018,TV-MA,Romantic Movies
s131,TV Show,Title_131,United States,2017,2017,TV-14,Stand-Up Comedy
s132,Movie,Title_132,Australia,2011,2018,TV-14,International Movies
s133,Movie,Title_133,Brazil,2014,2019,TV-MA,Horror Movies
s134,Movie,Title_134,United States,2018,2021,TV-PG,Anime Series
s135,Movie,Title_135,United States,2020,2020,TV-MA,Crime TV Shows
s136,Movie,Title_136,South Korea,2020,2013,TV-PG,Anime Series
s137,TV Show,Title_137,United States,2011,2016,TV-14,Reality TV
s138,TV Show,Title_138,Spain,2017,2015,TV-14,Kids TV
s139,Movie,Title_139,India,2018,2014,TV-MA,Reality TV
s140,TV Show,Title_140,United Kingdom,2013,2018,TV-PG,International TV Shows
s141,TV Show,Title_141,Spain,2019,2018,TV-14,Anime Series
s142,Movie,Title_142,India,2019,2015,TV-14,Documentaries
s143,Movie,Title_143,India,2020,2019,TV-14,Kids TV
s144,Movie,Title_144,India,2008,2019,TV-PG,International TV Shows
s145,Movie,Title_145,India,2014,2010,TV-MA,Children & Family Movies
s146,Movie,Title_146,United Kingdom,2020,2016,TV-MA,Documentaries
s147,Movie,Title_147,Germany,2019,2020,TV-MA,Comedies
s148,TV Show,Title_148,India,2020,2018,TV-PG,International Movies
s149,Movie,Title_149,United Kingdom,2011,2016,TV-14,Comedies
s150,Movie,Title_150,Japan,2018,2015,R,Reality TV
s151,Movie,Title_151,United States,2018,2015,R,International Movies
s152,TV Show,Title_152,United States,2010,2012,PG-13,International Movies
s153,TV Show,Title_153,Italy,2017,2020,TV-14,Anime Series
s154,Movie,Title_154,South Korea,2018,2012,TV-MA,International Movies
